vertex_x,vertex_y
2478.6,1675.775
2471.375,1686.825
2472.0125,1691.2875
2483.9126,1709.5625
2488.5874,1711.2625
2505.375,1699.575
2511.5376,1696.6
2513.6626,1686.4
2510.9,1683
2492.8374,1682.3625
2486.8875,1680.6625
2479.025,1675.775
2478.6,1675.775
